Munalcaldia,CVMUN ,UE,POT,PBT,VACB,ParPBT
Azcapotzalco,9002,17250,380625,204889.956,102842.638,3.7971
Coyoacán,9003,22793,182751,160059.073,68929.674,2.9663
Cuajimalpa de Morelos,9004,7923,162144,189705.639,101291.664,3.5157
Gustavo A. Madero,9005,48064,202580,88406.669,41961.911,1.6384
Iztacalco,9006,15970,92490,59788.807,32360.19,1.108
Iztapalapa,9007,78490,360147,148838.75,74311.468,2.7583
La Magdalena Contreras,9008,7210,32532,14220.742,6504.471,0.2635
Milpa Alta,9009,6951,14483,2302.26,1382.592,0.0427
Álvaro Obregón,9010,23013,404344,564719.391,332640.032,10.4656
Tláhuac,9011,16883,46392,14396.529,6263.513,0.2668
Tlalpan,9012,24683,214209,160792.06,68271.166,2.9799
Xochimilco,9013,19154,57648,32151.647,16072.694,0.5958
Benito Juárez,9014,24516,426927,308478.953,147274.864,5.7168
Cuauhtémoc,9015,62557,878704,1300718.801,868455.092,24.1054
Miguel Hidalgo,9016,23209,681883,946700.177,384434.981,17.5446
Venustiano Carranza,9017,29293,159275,84117.354,39639.541,1.5589
Tizayuca,13069,5817,29649,25397.25,10170.687,0.4707
Acolman,15002,6365,16316,10873.987,4108.715,0.2015
Amecameca,15009,2492,6301,1326.969,790.992,0.0246
Apaxco,15010,1505,5256,4633.138,1728.94,0.0859
Atenco,15011,2431,5240,1158.53,747.632,0.0215
Atizapán de Zaragoza,15013,17686,73032,34378.277,18507.615,0.6371
Atlautla,15015,1248,2463,264.525,144.31,0.0049
Axapusco,15016,852,1968,502.791,179.589,0.0093
Ayapango,15017,153,309,69.171,42.202,0.0013
Coacalco de Berriozábal,15020,9710,35786,12604.088,7068.074,0.2336
Cocotitlán,15022,506,1094,271.535,141.524,0.005
Coyotepec,15023,1605,3774,2501.949,1195.567,0.0464
Cuautitlán,15024,4987,32838,36098.774,14253.767,0.669
Chalco,15025,15129,45592,15101.38,8530.601,0.2799
Chiautla,15028,964,2597,504.296,231.721,0.0093
Chicoloapan,15029,6652,15588,4168.964,2509.348,0.0773
Chiconcuac,15030,2688,6192,754.212,503.206,0.014
Chimalhuacán,15031,26772,50291,7242.156,4622.425,0.1342
Ecatepec de Morelos,15033,72093,249999,171749.301,80528.913,3.1829
Ecatzingo,15034,348,770,56.848,31.837,0.0011
Huehuetoca,15035,3911,21488,15606.633,5547.368,0.2892
Hueypoxtla,15036,1818,3737,550.035,268.229,0.0102
Huixquilucan,15037,7588,45220,22890.623,12168.972,0.4242
Isidro Fabela,15038,292,531,70.819,39.594,0.0013
Ixtapaluca,15039,18606,52141,21890.214,10665.05,0.4057
Jaltenco,15044,983,1978,386.383,233.763,0.0072
Jilotzingo,15046,416,904,399.82,196.628,0.0074
Juchitepec,15050,1085,1905,257.923,175.462,0.0048
Melchor Ocampo,15053,1895,4507,964.901,566.145,0.0179
Naucalpan de Juárez,15057,30062,233434,153413.103,69201.458,2.8431
Nezahualcóyotl,15058,47257,116951,31024.307,17139.751,0.575
Nextlalpan,15059,1203,2660,458.069,274.632,0.0085
Nicolás Romero,15060,14296,37675,11994.398,5733.263,0.2223
Nopaltepec,15061,510,1100,218.955,129.126,0.0041
Otumba,15065,1411,3303,750.735,460.737,0.0139
Ozumba,15068,1531,3714,883.888,490.133,0.0164
Papalotla,15069,254,601,119.807,45.003,0.0022
La Paz,15070,12327,39044,20423.866,8820.816,0.3785
San Martín de las Pirámides,15075,1065,2771,1006.002,447.646,0.0186
Tecámac,15081,15571,47177,20561.331,10213.392,0.381
Temamatla,15083,337,603,88.317,42.408,0.0016
Temascalapa,15084,1799,3315,413.578,224.238,0.0077
Tenango del Aire,15089,414,848,109.303,64.174,0.002
Teoloyucan,15091,2795,7870,4297.351,1894.009,0.0796
Teotihuacán,15092,3061,9287,4473.954,1360.301,0.0829
Tepetlaoxtoc,15093,866,1908,333.378,115.104,0.0062
Tepetlixpa,15094,835,1661,205.865,138.952,0.0038
Tepotzotlán,15095,4008,40100,44776.715,17484.285,0.8298
Tequixquiac,15096,1845,5273,1157.749,661.885,0.0215
Texcoco,15099,11360,39766,20253.384,9922.73,0.3753
Tezoyuca,15100,2049,5112,1574.841,829.224,0.0292
Tlalmanalco,15103,1658,3460,591.155,395.154,0.011
Tlalnepantla de Baz,15104,27665,219828,171659.571,71205.978,3.1813
Tultepec,15108,5184,13389,8446.76,3793.136,0.1565
Tultitlán,15109,17847,88257,71133.937,27672.764,1.3183
Villa del Carbón,15112,1192,3125,407.122,217.791,0.0075
Zumpango,15120,7468,19509,5743.286,3273.87,0.1064
Cuautitlán Izcalli,15121,18129,147257,139851.77,55467.073,2.5918
Valle de Chalco Solidaridad,15122,16891,36779,6560.802,3951.316,0.1216
Tonanitla,15125,422,730,75.999,43.497,0.0014
